GeneName	FC	BatchId	SampleId	CN	SegmentNo
CCND2	0.998180155825221	T00028	IQSF54176590446444	2	1
CCND2	0.9427077048529132	T00028	XSXU74778272297702	2	1
CCND2	0.42276159351601733	T00028	IWCF64653158136381	0	1
CCND2	0.9934627414120912	T00028	FXCH97493688034024	2	1
CCND2	0.9130446751834225	T00028	UWUB76941277008083	2	1
CCND2	0.9779681289209949	T00028	SFCC44753259345093	2	1
CCND2	0.49454193375806244	T00028	PGAL53287568037326	0	1
CCND2	0.9076249960343152	T00029	BIHL94294650184306	2	1
CCND2	0.8018631669761225	T00029	BEWT51362027643246	2	1
CCND2	1.1370954314085837	T00029	LJPY87475831888122	3	1
CCND2	1.4117787887524604	T00029	PKDQ38704499931283	4	1
CCND2	0.8242347071750292	T00029	NZPK64787923845415	2	1
CCND2	0.910810945066474	T00029	PKGS26963089592071	2	1
CCND2	0.9602888478614084	T00029	ZELO80208659534423	2	1
CCND2	0.9669620580425738	T00029	TEEE30315369055997	2	1
CCND2	0.9302440143485553	T00030	YDKU87437217117576	2	1
CCND2	0.9829486217187504	T00030	YWQZ47915083341149	2	1
CCND2	0.9338064775156629	T00030	SNOH95786378650957	2	1
CCND2	0.8622808117121963	T00030	YRGN90697007040281	2	1
CCND2	0.9537290161983435	T00030	GKEX75199079798399	2	1
CCND2	0.9178160501144476	T00030	IEYL30010147152535	2	1
CCND2	0.5032453634421925	T00030	DPBV93223965755852	0	1
CCND2	0.895710396861359	T00030	QDTQ98665838913460	2	1
CCND2	0.9442182926133684	T00031	ZIUS82431610350292	2	1
CCND2	0.9494127925116116	T00031	UDYX91369420847525	2	1
CCND2	0.9417067768373826	T00031	TYLM61397096432887	2	1
CCND2	0.875553279089046	T00031	WTFT32578226065728	2	1
CCND2	0.4312411382462613	T00031	XYYO95007349748265	0	1
CCND2	0.47568658250660545	T00031	LBSH93415268206245	0	1
CCND2	0.471177973458624	T00031	KDRV18119675568467	0	1
CCND2	0.8966893651909728	T00031	SSBJ35331515856137	2	1
CCND2	0.8909361302650826	T00032	XIJN58389720830796	2	1
CCND2	0.9788291959432939	T00032	VHGM94985908468963	2	1
CCND2	1.4539657016226195	T00032	DSZA21630977859944	4	1
CCND2	0.8969019058479251	T00032	UXIL03871392289071	2	1
CCND2	0.9373134210071444	T00032	RNPU71902230662457	2	1
CCND2	0.8639121386264574	T00032	EPXR68976682635610	2	1
CCND2	0.47660722068285627	T00032	XGCE96091758403471	0	1
CCND2	1.5919364489837986	T00032	EBTE92898727067835	5	1
CCND2	0.9123315155514078	T00033	QSBQ36309380856987	2	1
CCND2	0.9028589572870124	T00033	KKWX51953737449890	2	1
CCND2	0.9115095396512013	T00033	QCAJ18323343135279	2	1
CCND2	0.938689828517968	T00033	HODF98302437073498	2	1
CCND2	0.9737071011047104	T00033	ZYQA38532024464833	2	1
CCND2	0.9254935998436173	T00033	VRXU46338710472451	2	1
CCND2	0.9193989490315296	T00033	ZYLZ29980954299452	2	1
CCND2	0.9223968495014677	T00033	NXOZ50041738925669	2	1
CCND2	1.02452415704808	T00034	UXZO15422651481050	2	1
CCND2	0.9520721044635934	T00034	KXYU88677147373617	2	1
CCND2	0.9212158750530796	T00034	VJFS96805874677036	2	1
CCND2	0.9272133859574547	T00034	LTCE92822699409380	2	1
CCND2	0.843373729759452	T00034	IVSG86980816846991	2	1
CCND2	0.9095663730353253	T00034	GDJT04428228996996	2	1
CCND2	0.994416688740557	T00034	KKBQ47398852833075	2	1
CCND2	1.0555790925429636	T00034	DKXR22190459937581	2	1
CCND2	0.9316025844786026	T00035	YWMH07198040750762	2	1
CCND2	0.9349254675429602	T00035	FICO69792486245258	2	1
CCND2	0.9232896049193666	T00035	GCTJ53973864580695	2	1
CCND2	0.9899439596938072	T00035	BAYR95499457096194	2	1
CCND2	0.9288818777225185	T00035	KTAT51907965672765	2	1
CCND2	0.9406543454010331	T00035	MEUP89553731917063	2	1
CCND2	0.9489304490585773	T00035	MKNW42794535902907	2	1
CCND2	0.877071336700402	T00035	VSAC89850146350430	2	1
CCND2	0.8842255124313398	T00036	WZAV08123088192372	2	1
CCND2	0.9655047914498857	T00036	JTXW88402560812918	2	1
CCND2	0.9042250888369586	T00036	RQBJ64228772586849	2	1
CCND2	0.924388322953496	T00036	XNID69631107129439	2	1
CCND2	0.9563324639607588	T00036	VWCA52625939177792	2	1
CCND2	0.8912491219859611	T00036	HKRB13390135194948	2	1
CCND2	0.9593231405587206	T00036	DSTF74406163483607	2	1
CCND2	0.9543547164375422	T00036	EBSD83413654493971	2	1
CCND2	0.9915790277177321	T00037	ABYI65955609518486	2	1
CCND2	0.4600429059346085	T00037	RDGT15513694284740	0	1
CCND2	0.9346380203215057	T00037	HWRK10738105434649	2	1
CCND2	0.9344409182942145	T00037	EPDJ33840289950039	2	1
CCND2	0.8413028320833154	T00037	SENB41064409456271	2	1
CCND2	0.9789292212924388	T00037	PHME87009972325555	2	1
CCND2	0.9520329735103128	T00037	LPGQ14132112480207	2	1
CCND2	0.852692449321095	T00037	RFGC87304475221644	2	1
CCND2	0.892135332814098	T00038	YQXQ72099708508998	2	1
CCND2	0.9761039930785639	T00038	MJAJ89881084973968	2	1
CCND2	0.4457148885078293	T00038	EROZ72374212720954	0	1
CCND2	0.9489444391593428	T00038	XPHN28392662478644	2	1
CCND2	0.995247388111978	T00038	DKMI43009394864670	2	1
CCND2	0.6839208296763948	T00038	NYSH49464759873128	1	1
CCND2	0.904572420103807	T00038	FBMS55995614619895	2	1
CCND2	0.9280381168226177	T00038	BTXF82721045883853	2	1
CCND2	0.9266530408707295	T00039	TOAR33469016527493	2	1
CCND2	1.454703685383826	T00039	SDMR09117707064223	4	1
CCND2	0.9398518664621979	T00039	NWAB04304862846633	2	1
CCND2	0.9101845037309001	T00039	MQKX83166182982097	2	1
CCND2	0.93982871846634	T00039	ZOMW22398503665728	2	1
CCND2	0.504971355871976	T00039	WPPF55325570870436	0	1
CCND2	0.9574608320487006	T00039	XQUO19976545527525	2	1
CCND2	0.4372879644518494	T00039	APZP60780424605400	0	1
CCND2	0.9069549700362564	T00040	UMWT25436435338789	2	1
CCND2	0.9093559825551065	T00040	GQUZ92314046357812	2	1
CCND2	0.502748252225328	T00040	UBMF88834631196371	0	1
CCND2	0.9677328483181147	T00040	KBFT19844394228599	2	1
CCND2	0.9698354991789614	T00040	EHFZ22858190048967	2	1
CCND2	0.8686112915157476	T00040	XYLA81911873133668	2	1
CCND2	0.9252446114471814	T00040	YTBU65497206656719	2	1
CCND2	0.9251073063066411	T00040	WOGG67181024679492	2	1
CCND2	0.9641270901150031	T00041	YJLI80082887926692	2	1
CCND2	0.8618800146607829	T00041	ACUT75550300475931	2	1
CCND2	1.022642548877906	T00041	QBZR54616786535278	2	1
CCND2	0.9277896967030353	T00041	ZNOD64073505455687	2	1
CCND2	0.8706962786589558	T00041	UHWR37369653786111	2	1
CCND2	0.8799284119941243	T00041	FKCG60806514922187	2	1
CCND2	0.8831393162014656	T00041	XWNP55075204733506	2	1
CCND2	0.454792098738166	T00041	ESMW38338137231203	0	1
CCND2	0.9883660884861364	T00042	KKDZ22495867278989	2	1
CCND2	0.44986275537989306	T00042	SREN05343286811681	0	1
CCND2	0.8659019378800199	T00042	ODLC68998345475519	2	1
CCND2	0.9434369466970459	T00042	CFGW93026676398926	2	1
CCND2	0.9842148366801738	T00042	LLQT92444260243196	2	1
CCND2	0.4799881216247467	T00042	WQVE67839417240779	0	1
CCND2	0.9038239407403336	T00042	HXWM95202089134060	2	1
CCND2	0.427881575685081	T00042	KQNT07057804003941	0	1
CCND2	0.8079303209982349	T00043	JKJN86389495819427	2	1
CCND2	0.8894996003891622	T00043	YXVX52916487980877	2	1
CCND2	0.9617736125984451	T00043	DVLH14393550407333	2	1
CCND2	0.4500243030532799	T00043	OHBL67529115022752	0	1
CCND2	1.2111234882152369	T00043	VBIX92199711919678	3	1
CCND2	1.0304801627023232	T00043	NBHK59755604306432	2	1
CCND2	0.9261013935088915	T00043	JHNF05101083890385	2	1
CCND2	0.9776312221155277	T00043	JKBB48232308858368	2	1
CCND2	0.9614872605968889	T00044	ZCHZ54340194320935	2	1
CCND2	0.48416004403973	T00044	ZBJO25364504144634	0	1
CCND2	0.8220679816686062	T00044	QRIN17463472277660	2	1
CCND2	0.9259325712763932	T00044	SOED23869101973538	2	1
CCND2	0.8530531168673021	T00044	AYXG46416070763509	2	1
CCND2	0.8877747665476305	T00044	KFXG92866506034600	2	1
CCND2	0.8933413209278405	T00044	GGPE54658271774895	2	1
CCND2	0.9585424140592117	T00044	GKNJ32657308376885	2	1
CCND2	0.9255021124664458	T00045	QUVJ30082444474650	2	1
CCND2	1.7574083661445732	T00045	IUQF45099302365016	5	1
CCND2	0.8613803342016272	T00045	YHIE11872549107560	2	1
CCND2	1.073739219990605	T00045	BZJN20709673139975	2	1
CCND2	0.4536559262761311	T00045	WDJP91601617668840	0	1
CCND2	0.9857607048757021	T00045	SVQG77576032014191	2	1
CCND2	0.9394609421517736	T00045	ZJGL40596987551361	2	1
CCND2	0.9156382603930951	T00045	SCSC54490069094485	2	1
